user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SRR8382459.bin.1.fa	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_002733155.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp002733155	77.84	0.32	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003978465.1, s__Sulfurimonas sp003978465, 95.0, 79.35, 0.24; GCA_002733945.1, s__Sulfurimonas sp002733945, 95.0, 78.61, 0.24; GCA_002335055.1, s__Sulfurimonas sp002335055, 95.0, 78.54, 0.23; GCF_000012965.1, s__Sulfurimonas denitrificans, 95.0, 78.3, 0.24; GCF_000242915.1, s__Sulfurimonas gotlandica, 95.0, 78.21, 0.45; GCF_009068765.1, s__Sulfurimonas sp009068765, 95.0, 78.21, 0.08; GCA_002899765.1, s__Sulfurimonas sp002899765, 95.0, 78.06, 0.21; GCA_014381585.1, s__Sulfurimonas sp014381585, 95.0, 78.05, 0.23; GCA_013153755.1, s__Sulfurimonas sp013153755, 95.0, 77.96, 0.29; GCF_005217605.1, s__Sulfurimonas crateris, 95.0, 77.86, 0.19; GCF_000445475.1, s__Sulfurimonas hongkongensis, 95.0, 77.85, 0.24; GCA_001829715.1, s__Sulfurimonas sp001829715, 95.0, 77.77, 0.31; GCA_002781365.1, s__Sulfurimonas sp002781365, 95.0, 77.77, 0.25; GCA_002732645.1, s__Sulfurimonas sp002732645, 95.0, 77.72, 0.28; GCA_011391635.1, s__Sulfurimonas sp011391635, 95.0, 77.68, 0.27; GCA_903903705.1, s__Sulfurimonas sp903903705, 95.0, 77.65, 0.19; GCA_001829675.1, s__Sulfurimonas sp001829675, 95.0, 77.6, 0.33; GCA_001829625.1, s__Sulfurimonas sp001829625, 95.0, 77.59, 0.2; GCA_001829785.1, s__Sulfurimonas sp001829785, 95.0, 77.59, 0.32; GCA_002452425.1, s__Sulfurimonas sp002452425, 95.0, 77.51, 0.11; GCA_002428085.1, s__Sulfurimonas sp002428085, 95.0, 77.46, 0.11; GCA_013607635.1, s__Sulfurimonas sp013607635, 95.0, 77.43, 0.07; GCF_009883775.1, s__Sulfurimonas sp002452895, 95.0, 77.41, 0.31; GCF_009258225.1, s__Sulfurimonas sp009258225, 95.0, 77.41, 0.16; GCA_013607665.1, s__Sulfurimonas sp013607665, 95.0, 77.29, 0.03; GCA_013791885.1, s__Sulfurimonas sp013791885, 95.0, 77.03, 0.16; GCA_001873135.1, s__Sulfurimonas sp001873135, 95.0, 76.96, 0.21; GCF_000147355.1, s__Sulfurimonas autotrophica, 95.0, 76.85, 0.21; GCF_009192995.1, s__Sulfurimonas sp009192995, 95.0, 76.84, 0.2	35.02	11	0.9493147853310646	N/A
SRR8382459.bin.3.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PWYM01;f__PWYM01;g__XN24;s__	N/A	N/A	N/A	N/A	N/A	GCF_011064545.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PWYM01;f__PWYM01;g__XN24;s__XN24 sp011064545	80.51	0.62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PWYM01;f__PWYM01;g__XN24;s__	taxonomic classification defined by topology and ANI	N/A	GCF_011089885.1, s__XN24 sp011089885, 95.0, 80.71, 0.67; GCF_011058255.1, s__XN24 sp011058255, 95.0, 80.56, 0.63	78.04	11	0.9416324942557271	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR8382459.bin.4.fa	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__GCA-2733885;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	51.98	11	0.9077848171897996	N/A
SRR8382459.bin.6.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Hepatoplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Hepatoplasmataceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	66.75	4	0.9153657442455787	N/A
SRR8382460.bin.1.fa	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAADHM01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013151855.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__JAADHM01;s__JAADHM01 sp013151855	75.18	0.03	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	62.4	11	0.873513354702956	N/A
SRR8382460.bin.10.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAAUQL01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012033595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAAUQL01;s__JAAUQL01 sp012033595	76.24	0.08	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	51.06	11	0.8738394796617083	N/A
SRR8382460.bin.11.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-229;f__SZUA-229;g__GCA-2746365;s__	ANI	N/A	GCA_002746365.1, s__GCA-2746365 sp002746365, 95.0, 77.62, 0.25; GCA_011321985.1, s__GCA-2746365 sp011321985, 95.0, 77.34, 0.18; GCA_013138755.1, s__GCA-2746365 sp013138755, 95.0, 77.16, 0.2; GCA_011051475.1, s__GCA-2746365 sp011051475, 95.0, 76.9, 0.09; GCA_013041745.1, s__GCA-2746365 sp013041745, 95.0, 76.86, 0.21; GCA_002401185.1, s__GCA-2746365 sp002401185, 95.0, 76.79, 0.1	68.39	11	0.9366654261008217	N/A
SRR8382460.bin.12.fa	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__UBA11579;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__;s__	taxonomic novelty determined using RED	N/A	N/A	51.4	11	0.9291990603273235	N/A
SRR8382460.bin.4.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__B18-G4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	39.21	11	0.9119990495826004	N/A
SRR8382460.bin.6.fa	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003105185.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__FEB-10;s__FEB-10 sp003105185	77.16	0.23	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.63	11	0.8381894939482412	N/A
SRR8382460.bin.7.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Thiomicrorhabdus;s__	N/A	N/A	N/A	N/A	N/A	GCA_006222135.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Thiomicrorhabdus;s__Thiomicrorhabdus sp006222135	89.55	0.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__Thiomicrorhabdus;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000381085.1, s__Thiomicrorhabdus arctica, 95.0, 85.84, 0.87; GCA_013153955.1, s__Thiomicrorhabdus sp013153955, 95.0, 78.53, 0.19; GCF_000478585.1, s__Thiomicrorhabdus sp000478585, 95.0, 77.93, 0.3; GCF_000702325.1, s__Thiomicrorhabdus sp000702325, 95.0, 77.79, 0.22; GCF_005885815.1, s__Thiomicrorhabdus sp005885815, 95.0, 77.42, 0.14; GCF_004293625.1, s__Thiomicrorhabdus indica, 95.0, 77.35, 0.11; GCF_013282625.1, s__Thiomicrorhabdus sp013282625, 95.0, 77.13, 0.11; GCF_000483485.1, s__Thiomicrorhabdus chilensis, 95.0, 77.11, 0.12; GCF_013391695.1, s__Thiomicrorhabdus sp013391695, 95.0, 77.0, 0.09; GCF_011398355.1, s__Thiomicrorhabdus sp011398355, 95.0, 76.93, 0.11; GCF_004001325.1, s__Thiomicrorhabdus aquaedulcis, 95.0, 76.87, 0.14; GCA_002299245.1, s__Thiomicrorhabdus sp002299245, 95.0, 76.29, 0.09	84.57	11	0.9928687605768285	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
SRR8382460.bin.9.fa	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__GCA-2733885;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	48.34	11	0.9179305436951385	N/A
SRR8382461.bin.3.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	N/A	N/A	N/A	N/A	N/A	GCA_004195325.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__Izemoplasma_B sp004195325	77.97	0.31	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	taxonomic classification defined by topology and ANI	N/A	GCA_014023125.1, s__Izemoplasma_B sp014023125, 95.0, 77.23, 0.07; GCA_000753575.1, s__Izemoplasma_B sp000753575, 95.0, 76.7, 0.14; GCF_000755705.1, s__Izemoplasma_B sp000755705, 95.0, 76.58, 0.13	50.41	11	0.9571922217040622	N/A
SRR8382462.bin.1.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	N/A	N/A	N/A	N/A	N/A	GCA_004195325.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__Izemoplasma_B sp004195325	77.37	0.2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000753575.1, s__Izemoplasma_B sp000753575, 95.0, 77.22, 0.17; GCF_000755705.1, s__Izemoplasma_B sp000755705, 95.0, 77.01, 0.17; GCA_014023125.1, s__Izemoplasma_B sp014023125, 95.0, 76.64, 0.08	38.02	11	0.9364027770640856	N/A
SRR8382462.bin.10.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	N/A	N/A	N/A	N/A	N/A	GCA_014023125.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__Izemoplasma_B sp014023125	77.42	0.22	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasma_B;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000753575.1, s__Izemoplasma_B sp000753575, 95.0, 76.61, 0.05; GCF_000755705.1, s__Izemoplasma_B sp000755705, 95.0, 76.56, 0.09; GCA_004195325.1, s__Izemoplasma_B sp004195325, 95.0, 76.11, 0.06	87.87	11	0.963300159568019	N/A
SRR8382462.bin.11.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SZUA-36;s__	N/A	N/A	N/A	N/A	N/A	GCA_013042835.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SZUA-36;s__SZUA-36 sp013042835	77.29	0.26	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SZUA-36;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003233115.1, s__SZUA-36 sp003233115, 95.0, 77.01, 0.13; GCA_014238945.1, s__SZUA-36 sp014238945, 95.0, 76.41, 0.1	78.14	11	0.938414507725422	N/A
